room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified,latitude,longitude,location
18134212,1428,40265704,Entire home/apt,Toronto,O'Connor-Parkview ,21,4.5,2,0,38,2017-07-10 08:47:19.265152,43.712435,-79.304778,0101000020E610000094A2957B81D353C04CC3F01131DB4540
17810098,1428,107052775,Entire home/apt,Toronto,Bathurst Manor ,32,4.5,3,1,41,2017-07-10 08:47:19.269987,43.75842,-79.443229,0101000020E6100000E2E82ADD5DDC53C0F05014E813E14540
14398733,1428,88500861,Entire home/apt,Toronto,Bendale ,16,5,4,1,28,2017-07-10 08:47:19.271987,43.769016,-79.260581,0101000020E6100000603DEE5BADD053C0E50CC51D6FE24540
14800586,1428,85744952,Entire home/apt,Toronto,Cliffcrest ,18,4.5,3,1,23,2017-07-10 08:47:19.276631,43.735544,-79.235119,0101000020E6100000C4EA8F300CCF53C06F62484E26DE4540
15867502,1428,48292411,Entire home/apt,Toronto,Dovercourt-Wallace Emerson-Junction ,42,5,2,1,40,2017-07-10 08:47:19.283652,43.661282,-79.447001,0101000020E6100000E01115AA9BDC53C07CB779E3A4D44540
14842737,1428,92598277,Entire home/apt,Toronto,Mount Pleasant West ,46,4.5,2,1,38,2017-07-10 08:47:19.285666,43.707731,-79.391188,0101000020E61000009CA5643909D953C0C5AEEDED96DA4540
15753679,1428,59327430,Entire home/apt,Toronto,North St.James Town ,31,5,2,0,34,2017-07-10 08:47:19.290507,43.669312,-79.37877,0101000020E61000002EAD86C43DD853C00169FF03ACD54540
6706563,1428,1218816,Entire home/apt,Toronto,Leaside-Bennington ,50,5,3,1,36,2017-07-10 08:47:19.292882,43.715653,-79.366951,0101000020E6100000020F0C207CD753C064247B849ADB4540
15248624,1428,75472140,Entire home/apt,Toronto,Eringate-Centennial-West Deane ,65,5,4,2,32,2017-07-10 08:47:19.295876,43.658914,-79.571203,0101000020E6100000221807978EE453C03370404B57D44540
18253328,1428,63351876,Entire home/apt,Toronto,Mount Pleasant West ,14,4.5,2,1,38,2017-07-10 08:47:19.298185,43.70518,-79.395696,0101000020E61000001DCA501553D953C08AE5965643DA4540
14893003,1428,93449446,Entire home/apt,Toronto,Dufferin Grove ,48,4.5,2,1,34,2017-07-10 08:47:19.300488,43.657666,-79.441008,0101000020E61000008F519E7939DC53C077D844662ED44540
15916548,1428,103264124,Entire home/apt,Toronto,Waterfront Communities-The Island ,41,5,4,2,40,2017-07-10 08:47:19.305588,43.640966,-79.383028,0101000020E6100000F25CDF8783D853C089EC832C0BD24540
17368603,1428,117372455,Entire home/apt,Toronto,Tam O'Shanter-Sullivan ,32,5,5,1,40,2017-07-10 08:47:19.310033,43.775361,-79.297052,0101000020E6100000874D64E602D353C003CC7C073FE34540
2721128,1428,377846,Entire home/apt,Toronto,East End-Danforth ,49,4.5,2,0,35,2017-07-10 08:47:21.170277,43.683197,-79.305105,0101000020E610000026361FD786D353C0D7DCD1FF72D74540
14671439,1428,7475466,Entire home/apt,Toronto,Dufferin Grove ,28,4.5,2,1,33,2017-07-10 08:47:21.175612,43.65148,-79.436836,0101000020E6100000CA6DFB1EF5DB53C0C1FF56B263D34540
9898233,1428,2516278,Entire home/apt,Toronto,Waterfront Communities-The Island ,124,4.5,2,0,35,2017-07-10 08:47:21.180720,43.647601,-79.399326,0101000020E6100000529CA38E8ED953C0AFEDED96E4D24540
15929160,1428,45861303,Entire home/apt,Toronto,South Parkdale ,15,4.5,2,1,39,2017-07-10 08:47:21.186429,43.638257,-79.444193,0101000020E61000002D077AA86DDC53C0B7B8C667B2D14540
13510011,1428,77538408,Entire home/apt,Toronto,South Parkdale ,72,4,2,0,36,2017-07-10 08:47:21.198332,43.635493,-79.42634,0101000020E6100000813E912749DB53C020EBA9D557D14540
16557067,1428,51110419,Entire home/apt,Toronto,Old East York ,33,4.5,8,3,41,2017-07-10 08:47:21.206761,43.697332,-79.330889,0101000020E6100000CB660E492DD553C0263ACB2C42D94540
15699861,1428,101367910,Entire home/apt,Toronto,Dovercourt-Wallace Emerson-Junction ,89,4.5,2,1,41,2017-07-10 08:47:21.209812,43.662436,-79.429927,0101000020E6100000B72A89EC83DB53C0B6D8EDB3CAD44540
11531645,1428,60819779,Entire home/apt,Toronto,Bendale ,51,5,4,1,39,2017-07-10 08:47:21.212426,43.750338,-79.250649,0101000020E61000009B711AA20AD053C0187959130BE04540
10068718,1428,459531,Entire home/apt,Toronto,East End-Danforth ,16,4.5,2,0,40,2017-07-10 08:47:22.417410,43.679716,-79.297587,0101000020E6100000BE2D58AA0BD353C0B24813EF00D74540
10772078,1428,45436801,Entire home/apt,Toronto,York University Heights ,17,4.5,2,1,34,2017-07-10 08:47:22.424351,43.764802,-79.491673,0101000020E6100000E1D4079277DF53C02CF52C08E5E14540
2786035,1428,2784012,Entire home/apt,Toronto,Weston-Pellam Park ,28,5,2,0,40,2017-07-10 08:47:22.426433,43.673082,-79.456106,0101000020E61000009A6038D730DD53C05DC30C8D27D64540
13172729,1428,15219229,Entire home/apt,Toronto,The Beaches ,16,5,2,0,40,2017-07-10 08:47:22.434286,43.675921,-79.302866,0101000020E61000008044132862D353C0FED64E9484D64540
18924497,1428,131906346,Entire home/apt,Toronto,Downsview-Roding-CFB ,10,5,4,1,39,2017-07-10 08:47:24.681165,43.750295,-79.463086,0101000020E6100000124F7633A3DD53C019ADA3AA09E04540
13252036,1428,53855867,Entire home/apt,Toronto,Oakwood Village ,13,4.5,3,1,39,2017-07-10 08:47:24.683567,43.68873,-79.445576,0101000020E61000007BF8325184DC53C015E3FC4D28D84540
6994934,1428,36677294,Entire home/apt,Toronto,Dovercourt-Wallace Emerson-Junction ,29,4.5,3,1,40,2017-07-10 08:47:24.688789,43.665978,-79.456989,0101000020E61000006E68CA4E3FDD53C081ED60C43ED54540
